Accident_Index,Accident Date,Month,Year,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
BS0000049,10-02-2021,Feb,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.516717,Daylight,Kensington and Chelsea,None,-0.209678,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,08:35,Urban,Fine no high winds,Car
BS0000050,12-02-2021,Feb,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.490115,Daylight,Kensington and Chelsea,None,-0.193146,1,2,Metropolitan Police,Dry,Single carriageway,30,07:53,Urban,Fine no high winds,Car
BS0000051,16-02-2021,Feb,2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.508943,Daylight,Kensington and Chelsea,None,-0.195284,1,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
BS0000052,16-02-2021,Feb,2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.493264,Daylight,Kensington and Chelsea,None,-0.199072,1,2,Metropolitan Police,Dry,Dual carriageway,30,08:25,Urban,Fine no high winds,Car
BS0000053,14-02-2021,Feb,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.484765,Darkness - lights lit,Kensington and Chelsea,None,-0.155621,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,21:06,Urban,Fine no high winds,Car
BS0000054,18-02-2021,Feb,2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.481746,Daylight,Kensington and Chelsea,None,-0.17533,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,07:09,Urban,Fine no high winds,Car
BS0000055,21-02-2021,Feb,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.487666,Darkness - lights lit,Kensington and Chelsea,None,-0.180135,2,1,Metropolitan Police,Dry,Single carriageway,30,20:42,Urban,Fine no high winds,Car
BS0000056,15-02-2021,Feb,2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.501516,Darkness - lights lit,Kensington and Chelsea,None,-0.191831,1,1,Metropolitan Police,Dry,Single carriageway,30,00:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000057,21-02-2021,Feb,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.487794,Daylight,Kensington and Chelsea,None,-0.182579,1,2,Metropolitan Police,Dry,One way street,30,10:15,Urban,Fine no high winds,Car
BS0000058,12-02-2021,Feb,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.502058,Darkness - lights lit,Kensington and Chelsea,None,-0.18619,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:50,Urban,Snowing no high winds,Car
BS0000059,12-02-2021,Feb,2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.500994,Daylight,Kensington and Chelsea,None,-0.193004,1,1,Metropolitan Police,Dry,Single carriageway,30,12:20,Urban,Fine no high winds,Car
BS0000060,20-02-2021,Feb,2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.523977,Darkness - lights lit,Kensington and Chelsea,None,-0.214006,1,2,Metropolitan Police,Dry,Roundabout,30,23:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000061,27-02-2021,Feb,2021,Friday,Give way or uncontrolled,Crossroads,Slight,51.484368,Daylight,Kensington and Chelsea,None,-0.170473,1,1,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
BS0000062,18-01-2021,Jan,2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.501169,Darkness - lights lit,Kensington and Chelsea,None,-0.192709,1,1,Metropolitan Police,Dry,Single carriageway,30,16:46,Urban,Fine no high winds,Car
BS0000063,07-02-2021,Feb,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.48299,Daylight,Kensington and Chelsea,None,-0.185939,2,2,Metropolitan Police,Dry,Single carriageway,30,12:25,Urban,Fine no high winds,Car
BS0000064,23-02-2021,Feb,2021,Monday,Give way or uncontrolled,Roundabout,Slight,51.515582,Daylight,Kensington and Chelsea,None,-0.205975,1,2,Metropolitan Police,Dry,Roundabout,30,13:23,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000065,22-02-2021,Feb,2021,Sunday,Give way or uncontrolled,T or staggered junction,Serious,51.48375,Darkness - lights lit,Kensington and Chelsea,None,-0.165456,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Car
BS0000066,26-02-2021,Feb,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.490919,Darkness - lights lit,Kensington and Chelsea,None,-0.181158,1,2,Metropolitan Police,Dry,Single carriageway,30,22:55,Urban,Fine no high winds,Car
BS0000067,16-01-2021,Jan,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.500731,Daylight,Kensington and Chelsea,None,-0.193447,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:05,Urban,Fine no high winds,Car
BS0000068,18-02-2021,Feb,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.513804,Daylight,Kensington and Chelsea,None,-0.213251,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,08:36,Urban,Other,Car
BS0000069,04-03-2021,Mar,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.494663,Darkness - lights lit,Kensington and Chelsea,None,-0.190661,1,2,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Car
BS0000070,03-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.497543,Daylight,Kensington and Chelsea,None,-0.16764,1,2,Metropolitan Police,Dry,Dual carriageway,30,08:55,Urban,Fine no high winds,Car
BS0000071,03-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.517475,Daylight,Kensington and Chelsea,None,-0.206333,2,2,Metropolitan Police,Dry,Single carriageway,30,08:30,Urban,Fine no high winds,Car
BS0000072,03-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.485759,Darkness - lights lit,Kensington and Chelsea,None,-0.173154,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,20:20,Urban,Raining no high winds,Motorcycle over 500cc
BS0000073,04-03-2021,Mar,2021,Wednesday,Give way or uncontrolled,Mini-roundabout,Slight,51.517796,Daylight,Kensington and Chelsea,None,-0.215545,3,2,Metropolitan Police,Dry,Roundabout,30,14:51,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000074,06-03-2021,Mar,2021,Friday,Auto traffic signal,Crossroads,Slight,51.497048,Daylight,Kensington and Chelsea,None,-0.159015,1,2,Metropolitan Police,Dry,Single carriageway,30,06:35,Urban,Fine no high winds,Car
BS0000075,17-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.497103,Darkness - lights lit,Kensington and Chelsea,None,-0.168234,1,1,Metropolitan Police,Dry,Single carriageway,30,19:11,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000076,03-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.512346,Darkness - lights lit,Kensington and Chelsea,None,-0.21792,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:26,Urban,Raining no high winds,Taxi/Private hire car
BS0000077,20-02-2021,Feb,2021,Friday,Auto traffic signal,Crossroads,Slight,51.485757,Daylight,Kensington and Chelsea,None,-0.150108,1,2,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
BS0000078,18-02-2021,Feb,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.500856,Daylight,Kensington and Chelsea,None,-0.184076,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
BS0000079,09-03-2021,Mar,2021,Monday,Auto traffic signal,Crossroads,Slight,51.492471,Daylight,Kensington and Chelsea,None,-0.200112,1,2,Metropolitan Police,Dry,Single carriageway,30,13:27,Urban,Fine no high winds,Car
BS0000080,09-03-2021,Mar,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.518131,Daylight,Kensington and Chelsea,None,-0.213947,1,2,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Car
BS0000081,10-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,Roundabout,Serious,51.504784,Daylight,Hammersmith and Fulham,None,-0.21735,1,2,Metropolitan Police,Dry,Roundabout,30,13:30,Urban,Fine no high winds,Car
BS0000082,10-02-2021,Feb,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.483345,Daylight,Kensington and Chelsea,None,-0.185636,1,1,Metropolitan Police,Dry,One way street,30,16:50,Urban,Fine no high winds,Car
BS0000083,09-03-2021,Mar,2021,Monday,Auto traffic signal,Crossroads,Slight,51.48115,Daylight,Kensington and Chelsea,None,-0.183275,1,3,Metropolitan Police,Dry,Single carriageway,30,10:40,Urban,Fine no high winds,Car
BS0000084,02-03-2021,Mar,2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.49266,Daylight,Kensington and Chelsea,None,-0.160201,1,2,Metropolitan Police,Dry,Single carriageway,30,07:40,Urban,Fine no high winds,Car
BS0000085,25-02-2021,Feb,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.491935,Daylight,Kensington and Chelsea,None,-0.194515,1,2,Metropolitan Police,Dry,One way street,30,12:58,Urban,Fine no high winds,Car
BS0000086,06-03-2021,Mar,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.482328,Darkness - lights lit,Kensington and Chelsea,None,-0.172282,2,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Car
BS0000087,14-03-2021,Mar,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.481572,Daylight,Kensington and Chelsea,None,-0.18153,1,2,Metropolitan Police,Dry,Single carriageway,30,17:04,Urban,Fine no high winds,Car
BS0000088,20-02-2021,Feb,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.49892,Darkness - lights lit,Kensington and Chelsea,None,-0.157931,1,2,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000089,09-03-2021,Mar,2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.490315,Daylight,Kensington and Chelsea,None,-0.177005,1,1,Metropolitan Police,Dry,Single carriageway,30,15:53,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000090,26-02-2021,Feb,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,13:45,Urban,Fine no high winds,Car
BS0000091,28-02-2021,Feb,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.489535,Darkness - lights lit,Kensington and Chelsea,None,-0.155861,1,2,Metropolitan Police,Dry,Single carriageway,30,06:12,Urban,Fine no high winds,Car
BS0000092,23-02-2021,Feb,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493429,Daylight,Kensington and Chelsea,None,-0.174864,1,2,Metropolitan Police,Dry,Single carriageway,30,12:33,Urban,Fine no high winds,Car
BS0000093,11-02-2021,Feb,2021,Wednesday,Give way or uncontrolled,Crossroads,Serious,51.488481,Daylight,Kensington and Chelsea,None,-0.157488,1,2,Metropolitan Police,Dry,Single carriageway,30,08:40,Urban,Fine no high winds,Car
BS0000094,01-03-2021,Mar,2021,Sunday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,13:05,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000095,13-03-2021,Mar,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.483603,Daylight,Kensington and Chelsea,None,-0.184906,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000096,04-03-2021,Mar,2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.486622,Daylight,Kensington and Chelsea,None,-0.170814,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,07:05,Urban,Fine no high winds,Car
BS0000097,07-02-2021,Feb,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.504966,Daylight,Kensington and Chelsea,None,-0.194,1,1,Metropolitan Police,Dry,Single carriageway,30,13:15,Urban,Other,Car
BS0000098,17-03-2021,Mar,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.49566,Darkness - lights lit,Kensington and Chelsea,None,-0.173766,1,1,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
BS0000099,24-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.490535,Daylight,Kensington and Chelsea,None,-0.173827,1,2,Metropolitan Police,Dry,Single carriageway,30,08:00,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000100,20-03-2021,Mar,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.486213,Daylight,Kensington and Chelsea,None,-0.173423,1,2,Metropolitan Police,Dry,Single carriageway,30,08:59,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000101,05-02-2021,Feb,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.506775,Daylight,Kensington and Chelsea,None,-0.194649,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,08:40,Urban,Raining no high winds,Car
BS0000102,20-03-2021,Mar,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486977,Darkness - lights lit,Kensington and Chelsea,None,-0.187941,1,3,Metropolitan Police,Dry,One way street,30,20:18,Urban,Fine no high winds,Car
BS0000103,20-03-2021,Mar,2021,Friday,Give way or uncontrolled,T or staggered junction,Serious,51.509794,Daylight,Kensington and Chelsea,None,-0.197988,1,1,Metropolitan Police,Dry,Single carriageway,30,15:00,Urban,Fine no high winds,Taxi/Private hire car
BS0000104,20-01-2021,Jan,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.492565,Darkness - lights lit,Kensington and Chelsea,None,-0.200396,2,2,Metropolitan Police,Dry,Single carriageway,30,22:15,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000105,21-03-2021,Mar,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486608,Daylight,Kensington and Chelsea,None,-0.169951,1,3,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000106,24-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.485669,Daylight,Kensington and Chelsea,None,-0.173157,1,2,Metropolitan Police,Dry,Single carriageway,30,10:15,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000107,23-03-2021,Mar,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.488776,Daylight,Kensington and Chelsea,None,-0.176346,1,2,Metropolitan Police,Dry,Single carriageway,30,08:15,Urban,Fine no high winds,Motorcycle over 500cc
BS0000108,23-03-2021,Mar,2021,Monday,Auto traffic signal,Crossroads,Slight,51.48226,Daylight,Kensington and Chelsea,None,-0.173725,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,16:13,Urban,Raining no high winds,Car
